"","Year","Env","Line","GY","PH","HD","Can_Cover","NM_900","NM_975","Blue","Green","NDRE1","NDVI","NIR","RE1","RE2","Red","MTVI","NWI1"
"629",2020,"Lind","SWW15056-DH-7",51.71888539,29.80734759,139.1847153,61.39052002,65.30073766,58.73928079,22.70850732,30.27900352,0.148290838,0.24942568,54.98155889,36.25844514,53.73463058,31.02475669,0.025700625,-0.032244119
"630",2020,"Lind","SWW15056-DH-9",49.32873101,31.79653525,141.2689217,52.64386265,58.09830341,52.23921321,20.58577882,26.09671261,0.151542737,0.251425337,49.06698599,31.97764406,47.65449522,27.40092744,0.019639571,-0.031931297
"631",2020,"Lind","SWW15071-DH-13",48.86644776,28.83798474,137.2126821,41.70745279,43.87757629,39.02728392,15.28138678,19.11319998,0.152919384,0.247012179,36.39702911,22.84227961,37.53800647,20.43926956,0.012087149,-0.036860032
"632",2020,"Lind","SWW15071-DH-16",46.95625506,30.83480863,138.2389768,55.25605477,61.7279204,54.98526873,20.37533955,25.88146313,0.155786188,0.276469094,51.80223145,33.37919066,49.57252621,26.93318537,0.026116513,-0.029345522
"633",2020,"Lind","SWW15071-DH-17",58.39750024,33.86435318,143.1859172,60.59568969,62.27615376,54.86590686,19.8133554,26.18470646,0.165027469,0.284252778,51.476386,32.66019391,49.83573902,26.62720682,0.027227437,-0.036222142
"634",2020,"Lind","SWW15071-DH-19",43.69226235,28.82041173,137.248143,37.37239389,40.52679946,35.91053411,14.07162785,16.94574286,0.159796088,0.256905453,34.20609264,20.94250747,34.68340099,18.05001206,0.010039836,-0.034793344
"635",2020,"Lind","SWW15071-DH-2",57.70077066,27.69791673,141.2785359,45.89098505,50.40481017,45.17708055,17.05640296,21.74886276,0.161833025,0.278192724,43.1881739,26.64406441,42.68767065,22.39199651,0.019075453,-0.03733801
"636",2020,"Lind","SWW15071-DH-20",61.31936865,30.8592041,137.2505483,59.3861137,59.03729256,52.5109645,18.41830794,23.9221814,0.176436562,0.290337462,48.62982906,29.74661172,46.84613268,24.67048226,0.025763549,-0.040223062
"637",2020,"Lind","SWW15071-DH-22",50.53194133,27.82638384,137.2714679,30.54705557,33.79762308,29.78885233,12.1624535,14.77914835,0.151695928,0.237845955,28.96696227,17.22374289,30.62835987,15.84346517,0.003934337,-0.033573986
"638",2020,"Lind","SWW15071-DH-23",37.19283564,28.83878801,138.2635997,11.78956431,16.11266354,14.01184794,6.106265883,6.07106441,0.147705512,0.235288281,14.79581748,7.388623685,17.58136116,7.56860339,-0.003786391,-0.029682823
"639",2020,"Lind","SWW15071-DH-24",56.73348005,27.79879974,137.2833753,38.23684694,39.24366802,34.482939,13.43589499,16.34865173,0.165437198,0.263840193,33.7323702,20.05543655,33.68783574,17.66273692,0.010162073,-0.040514077
"640",2020,"Lind","SWW15071-DH-25",61.19207296,32.75483441,138.3334739,45.65163024,48.33492739,42.10331814,16.83867727,21.19183316,0.156513908,0.253472856,40.82484667,25.50783817,40.65429493,22.49760248,0.013790871,-0.044980438
"641",2020,"Lind","SWW15071-DH-27",62.67410598,34.73678009,145.3299376,76.88041112,83.61346057,71.14306375,25.02386312,34.16604069,0.168395642,0.308471669,68.52403255,43.68825477,64.65672642,34.4444486,0.046646207,-0.052461768
"642",2020,"Lind","SWW15071-DH-28",55.73372431,29.72264781,137.2648947,48.07488041,52.71290206,45.61805903,17.64105085,22.46674328,0.156078702,0.262960668,43.65365913,27.99239353,43.29614629,23.94045508,0.017687969,-0.040362321
"643",2020,"Lind","SWW15071-DH-29",52.60991383,26.79154777,138.3516973,37.41950867,41.16178856,36.00084889,14.49509962,17.76462227,0.150919233,0.249446979,34.95792788,21.79607051,35.63910041,19.48876435,0.009614899,-0.03250779
"644",2020,"Lind","SWW15071-DH-30",38.99706011,28.76868673,139.3057865,21.94577873,27.15927698,24.5958991,10.35826503,11.50564002,0.14136398,0.228099187,23.69869149,13.6411032,25.91379628,13.21248507,0.001388993,-0.029157751
"645",2020,"Lind","SWW15071-DH-33",53.03629414,30.75071717,141.3530917,56.30292849,62.37588106,53.98110693,20.11959072,26.27419759,0.155673207,0.279732411,52.55749156,33.66595272,50.24533153,27.25132416,0.028599525,-0.033445889
"646",2020,"Lind","SWW15071-DH-35",47.18594109,27.71620718,137.279068,34.43655973,38.46879022,32.98833407,13.43675567,16.55543769,0.149906271,0.242594919,32.38172313,19.61246533,32.71622087,17.66642622,0.008454226,-0.036905631
"647",2020,"Lind","SWW15071-DH-36",39.60388357,29.75213694,142.2754376,46.17635947,52.03714721,46.58557052,18.22177574,23.56644466,0.146482089,0.254153371,44.85130937,28.52934304,44.44592277,24.67877559,0.018151194,-0.030555123
"648",2020,"Lind","SWW15071-DH-37",46.81489064,28.6861005,137.3716232,39.0072994,41.76320713,37.3851141,15.09666222,19.19362116,0.147528907,0.23026383,34.9766413,22.15227808,36.10639489,20.26899416,0.008530606,-0.032724601
"649",2020,"Lind","SWW15071-DH-39",42.90054142,27.73339086,137.2804323,32.03434948,35.78442195,31.42343878,13.17075899,16.08784834,0.14314023,0.228511158,29.97419064,19.00269797,31.80334637,17.47061097,0.006152851,-0.036636525
"650",2020,"Lind","SWW15071-DH-4",57.52033549,29.77752418,141.2143998,53.01212055,55.86333158,49.66085961,18.68299741,24.11871956,0.162642717,0.265653615,46.35774585,28.76230029,45.47278969,25.14829983,0.018598078,-0.037974653
"651",2020,"Lind","SWW15071-DH-40",51.05616027,25.73440551,137.3071064,41.02714889,44.44191649,38.41482431,15.24479655,19.49038968,0.15784867,0.251206885,36.86734016,22.97148637,36.67449354,20.21281414,0.009624784,-0.036232516
"652",2020,"Lind","SWW15071-DH-41",45.68457936,24.79935596,137.3765692,31.63952429,35.10361013,30.49616279,12.69945458,15.81747537,0.146239422,0.23204396,29.32870839,18.25205549,31.23853729,16.90638916,0.005397471,-0.033104991
"653",2020,"Lind","SWW15071-DH-44",46.63049347,23.78601351,137.3270377,31.87197466,36.22037326,31.11431833,13.03277696,16.15193219,0.145995478,0.231975445,30.26896879,19.2225458,32.3963808,17.76562809,0.004223614,-0.031547432
"654",2020,"Lind","SWW15071-DH-6",66.65755617,33.6742066,138.1993916,61.59542229,67.39097454,60.3405434,20.7910277,27.06281081,0.169591155,0.304673816,56.04044045,35.13574012,53.63066525,27.67982257,0.034456959,-0.038432701
"655",2020,"Lind","SWW15071-DH-9",54.85084569,30.81166152,137.2049383,53.75681052,57.64707271,51.13572514,18.1897924,23.92011438,0.167826874,0.285426528,48.0334346,30.15911339,46.22128013,24.77844216,0.025132897,-0.042035856
"656",2020,"Lind","SWW15075-DH-12",27.57360534,24.78713533,140.3283173,18.6942909,26.06312442,23.45096131,9.344739365,10.9284868,0.141067252,0.25448066,22.73959518,13.63166524,25.11432502,12.24067799,0.003877462,-0.026035679
"657",2020,"Lind","SWW15075-DH-14",41.35224061,27.82187179,136.3562872,55.6671765,61.00892152,54.11588242,20.59591425,27.84548537,0.141190825,0.248198629,51.81080981,33.97479354,50.28628167,29.2344909,0.024044415,-0.032669565
"658",2020,"Lind","SWW15075-DH-24",39.20630567,29.78079985,136.3400471,47.19577801,50.15275438,44.6347975,17.95249337,23.70954343,0.140248656,0.235292538,42.8340053,28.01536994,42.70376333,24.66363293,0.015887452,-0.032193497
"659",2020,"Lind","SWW15075-DH-3",37.90856693,30.75479165,143.2908473,43.52478221,51.88050819,45.48803269,17.59450773,22.71554267,0.140190447,0.258732735,43.79856101,28.74164533,43.95856909,23.64170109,0.019905192,-0.030588395
"660",2020,"Lind","SWW15075-DH-31",40.8623074,31.76792458,141.3100159,47.23799297,51.83238991,45.96529697,18.50533972,24.31593441,0.140596333,0.242167135,44.61832719,28.83076946,43.87276963,25.43835403,0.017291976,-0.033591649
"661",2020,"Lind","SWW15075-DH-35",38.64051993,25.72594886,143.2762727,16.78780492,21.12979042,18.27561159,8.352285238,8.954988723,0.140240722,0.216037373,17.85892524,10.2296755,21.63002961,10.38821874,-0.003327392,-0.032631715
"662",2020,"Lind","SWW15075-DH-38",42.19515806,29.71565855,138.3045895,42.15121425,45.57258515,41.08841851,15.91202713,20.52145984,0.147618236,0.256429465,39.68697293,25.38786016,40.04783428,21.50937718,0.015241155,-0.034508494
"663",2020,"Lind","SWW15075-DH-4",31.90666827,25.81236495,140.3126812,29.91323346,35.44943506,31.69332504,12.5171248,15.68047708,0.141636304,0.248962384,30.73189167,19.80300614,32.39882067,16.79350709,0.008877677,-0.022020649
"664",2020,"Lind","SWW15075-DH-45",53.8680871,28.76349851,136.3180513,51.62100914,59.07141919,51.96698223,19.67791892,26.54658671,0.145292517,0.258570614,49.68468361,32.95824952,48.5054498,27.0175861,0.023536763,-0.032899905
"665",2020,"Lind","SWW15086-DH-10",61.01375437,33.84640536,141.3618062,73.00285923,81.9689866,72.80899016,25.67553902,35.09185354,0.160041355,0.300618005,68.53415362,45.28641927,65.24803691,34.94337287,0.04499395,-0.041089016
"666",2020,"Lind","SWW15086-DH-16",18.45965235,28.75980306,144.338748,9.132121125,14.57918754,11.41431624,5.247510177,4.821911689,0.131350904,0.221101364,12.23687399,6.38733561,15.9679796,6.569348702,-0.002843567,-0.04013103
"667",2020,"Lind","SWW15086-DH-17",33.75313785,29.81609881,138.3138653,41.41714356,44.76308996,39.58903389,16.26170914,21.90607519,0.129110326,0.212950209,37.74689935,25.51806891,39.36677951,23.19985538,0.011935361,-0.031490414
"668",2020,"Lind","SWW15086-DH-19",35.80776884,31.79149849,138.2852503,34.71760293,38.27277344,33.6326214,14.12128531,17.87747584,0.13342213,0.205752442,32.32368481,20.82011695,33.57066736,19.32274518,0.004257571,-0.034630872
"669",2020,"Lind","SWW15086-DH-20",44.75222725,32.76942317,143.330995,49.42206164,54.90139242,48.2178161,18.80308584,24.60954402,0.153932961,0.253166741,45.75787782,29.33029372,44.83633173,25.67432343,0.016647817,-0.039005614
"670",2020,"Lind","SWW15086-DH-24",27.24314237,30.85275405,140.3282615,32.89235128,35.58754681,31.00821659,12.68033578,16.30625261,0.133389162,0.209005609,29.74389727,19.02098925,31.34230286,17.58239042,0.004978615,-0.023541514
"671",2020,"Lind","SWW15086-DH-28",45.5934916,30.86438125,137.328332,40.5195976,44.22384355,39.06323192,15.5316754,19.87798983,0.148480996,0.243043955,37.20479828,23.55259633,37.97428586,21.07111418,0.010810922,-0.036926099
